Price,Close,High,Low,Open,Volume,Return,Direction,Lag_1,Lag_2,Lag_3
Ticker,^BSESN,^BSESN,^BSESN,^BSESN,^BSESN,,,,,
Date,,,,,,,,,,
2015-02-19,29462.26953125,29522.859375,29108.150390625,29434.91015625,11900,0.00484340066425637,1,0.006328242044230992,0.001407502005154937,0.010061762745325442
2015-02-20,29231.41015625,29462.08984375,29178.259765625,29446.2109375,11500,-0.00783576345858672,0,0.00484340066425637,0.006328242044230992,0.001407502005154937
2015-02-23,28975.109375,29362.9609375,28913.16015625,29316.580078125,8800,-0.008767992371219946,0,-0.00783576345858672,0.00484340066425637,0.006328242044230992
2015-02-24,29004.66015625,29130.669921875,28875.939453125,29016.55078125,10200,0.0010198678067976363,1,-0.008767992371219946,-0.00783576345858672,0.00484340066425637
2015-02-25,29007.990234375,29269.830078125,28967.609375,29115.3203125,8000,0.0001148118304803436,1,0.0010198678067976363,-0.008767992371219946,-0.00783576345858672
2015-02-26,28746.650390625,29069.130859375,28693.8203125,29051.900390625,10700,-0.009009236477207194,0,0.0001148118304803436,0.0010198678067976363,-0.008767992371219946
2015-02-27,29220.119140625,29254.01953125,28837.060546875,28865.119140625,16500,0.016470397196412412,1,-0.009009236477207194,0.0001148118304803436,0.0010198678067976363
2015-03-02,29459.140625,29576.3203125,29259.76953125,29533.419921875,15300,0.008180031136241439,1,0.016470397196412412,-0.009009236477207194,0.0001148118304803436
2015-03-03,29593.73046875,29636.859375,29364.869140625,29500.189453125,12200,0.0045686955184218725,1,0.008180031136241439,0.016470397196412412,-0.009009236477207194
2015-03-04,29380.73046875,30024.740234375,29289.05078125,29937.26953125,17000,-0.00719747043127672,0,0.0045686955184218725,0.008180031136241439,0.016470397196412412
2015-03-05,29448.94921875,29518.3203125,29162.470703125,29436.76953125,13400,0.002321887472217954,1,-0.00719747043127672,0.0045686955184218725,0.008180031136241439
2015-03-09,28844.779296875,29321.060546875,28799.759765625,29316.5390625,11800,-0.02051583971255344,0,0.002321887472217954,-0.00719747043127672,0.0045686955184218725
2015-03-10,28709.869140625,28949.109375,28584.490234375,28924.060546875,11200,-0.004677108285748521,0,-0.02051583971255344,0.002321887472217954,-0.00719747043127672
2015-03-11,28659.169921875,28843.23046875,28608.1796875,28725.75,12500,-0.0017659160514340577,0,-0.004677108285748521,-0.02051583971255344,0.002321887472217954
2015-03-12,28930.41015625,28971.009765625,28772.7109375,28798.609375,11100,0.00946434370271021,1,-0.0017659160514340577,-0.004677108285748521,-0.02051583971255344
2015-03-13,28503.30078125,29183.759765625,28448.48046875,29134.9296875,11500,-0.014763336319576159,0,0.00946434370271021,-0.0017659160514340577,-0.004677108285748521
2015-03-16,28437.7109375,28581.8203125,28384.08984375,28546.310546875,11100,-0.002301131516429411,0,-0.014763336319576159,0.00946434370271021,-0.0017659160514340577
2015-03-17,28736.380859375,28784.349609375,28435.44921875,28595.0,11000,0.010502600667522621,1,-0.002301131516429411,-0.014763336319576159,0.00946434370271021
